date,state,cases,cases_perc,cases_daybefore,cases_ln,cases_daybefore_ln,log_dif
2020-03-20,New Mexico,43,22.857142857142858,35,3.7612001156935624,3.5553480614894135,0.20585205420414887
2020-03-21,New Mexico,57,32.55813953488372,43,4.04305126783455,3.7612001156935624,0.2818511521409879
2020-03-22,New Mexico,65,14.035087719298245,57,4.174387269895637,4.04305126783455,0.13133600206108653
2020-03-23,New Mexico,83,27.692307692307693,65,4.418840607796598,4.174387269895637,0.24445333790096146
2020-03-24,New Mexico,100,20.481927710843372,83,4.605170185988092,4.418840607796598,0.18632957819149354
2020-03-25,New Mexico,113,13,100,4.727387818712341,4.605170185988092,0.12221763272424901
2020-03-26,New Mexico,136,20.353982300884958,113,4.912654885736052,4.727387818712341,0.18526706702371154
2020-03-27,New Mexico,191,40.44117647058824,136,5.25227342804663,4.912654885736052,0.33961854231057753
2020-03-28,New Mexico,210,9.947643979057592,191,5.3471075307174685,5.25227342804663,0.09483410267083858
2020-03-29,New Mexico,237,12.857142857142856,210,5.4680601411351315,5.3471075307174685,0.12095261041766303
2020-03-30,New Mexico,282,18.9873417721519,237,5.641907070938114,5.4680601411351315,0.17384692980298233
2020-03-06,New York,44,100,22,3.784189633918261,3.091042453358316,0.693147180559945
2020-03-07,New York,89,102.27272727272727,44,4.48863636973214,3.784189633918261,0.7044467358138786
2020-03-08,New York,106,19.101123595505616,89,4.663439094112067,4.48863636973214,0.17480272437992728
2020-03-09,New York,142,33.9622641509434,106,4.955827057601261,4.663439094112067,0.29238796348919394
2020-03-10,New York,173,21.830985915492956,142,5.153291594497779,4.955827057601261,0.19746453689651844
2020-03-11,New York,217,25.43352601156069,173,5.37989735354046,5.153291594497779,0.22660575904268043
2020-03-12,New York,326,50.23041474654379,217,5.786897381366708,5.37989735354046,0.407000027826248
2020-03-13,New York,421,29.141104294478527,326,6.042632833682381,5.786897381366708,0.2557354523156734
2020-03-14,New York,610,44.89311163895487,421,6.413458957167357,6.042632833682381,0.3708261234849761
2020-03-15,New York,732,20,610,6.595780513961311,6.413458957167357,0.182321556793954
2020-03-16,New York,950,29.78142076502732,732,6.856461984594587,6.595780513961311,0.2606814706332754
2020-03-17,New York,1375,44.73684210526316,950,7.226209010100671,6.856461984594587,0.3697470255060846
2020-03-18,New York,2387,73.6,1375,7.77779262633883,7.226209010100671,0.5515836162381591
2020-03-19,New York,4161,74.31922915793884,2387,8.333510708982942,7.77779262633883,0.5557180826441117
2020-03-20,New York,7113,70.94448449891853,4161,8.869679374733515,8.333510708982942,0.5361686657505729
2020-03-21,New York,10371,45.803458456347535,7113,9.246768728589734,8.869679374733515,0.3770893538562188
2020-03-22,New York,15188,46.44682287146852,10371,9.628260921351693,9.246768728589734,0.381492192761959
2020-03-23,New York,20899,37.60205425335791,15188,9.947456589918252,9.628260921351693,0.3191956685665591
2020-03-24,New York,25704,22.991530695248578,20899,10.154401900795694,9.947456589918252,0.20694531087744217
2020-03-25,New York,33117,28.83986928104575,25704,10.407802024686461,10.154401900795694,0.25340012389076705
2020-03-26,New York,39058,17.93942688045415,33117,10.572802999842727,10.407802024686461,0.165000975156266
2020-03-27,New York,44746,14.562957652721595,39058,10.708757334233022,10.572802999842727,0.13595433439029492
2020-03-28,New York,53517,19.601752111920618,44746,10.887754639419377,10.708757334233022,0.17899730518635515
2020-03-29,New York,59783,11.708429097296186,53517,10.998476618586784,10.887754639419377,0.11072197916740656
2020-03-30,New York,67504,12.91504273790208,59783,11.11994213436412,10.998476618586784,0.12146551577733611
2020-03-15,North Carolina,32,28.000000000000004,25,3.4657359027997265,3.2188758248682006,0.24686007793152598
2020-03-16,North Carolina,34,6.25,32,3.5263605246161616,3.4657359027997265,0.06062462181643502
2020-03-17,North Carolina,42,23.52941176470588,34,3.7376696182833684,3.5263605246161616,0.21130909366720685
2020-03-18,North Carolina,66,57.14285714285714,42,4.189654742026425,3.7376696182833684,0.45198512374305677
2020-03-19,North Carolina,104,57.57575757575758,66,4.6443908991413725,4.189654742026425,0.4547361571149473
2020-03-20,North Carolina,144,38.46153846153847,104,4.969813299576001,4.6443908991413725,0.3254224004346282
2020-03-21,North Carolina,184,27.77777777777778,144,5.214935757608986,4.969813299576001,0.24512245803298516
2020-03-22,North Carolina,269,46.19565217391305,184,5.594711379601839,5.214935757608986,0.3797756219928532
2020-03-23,North Carolina,302,12.267657992565056,269,5.71042701737487,5.594711379601839,0.11571563777303062
2020-03-24,North Carolina,397,31.456953642384107,302,5.983936280687191,5.71042701737487,0.27350926331232106
2020-03-25,North Carolina,562,41.56171284634761,397,6.331501849893691,5.983936280687191,0.34756556920650006
2020-03-26,North Carolina,639,13.701067615658364,562,6.459904454377535,6.331501849893691,0.12840260448384377
2020-03-27,North Carolina,784,22.69170579029734,639,6.664409020350408,6.459904454377535,0.20450456597287303
2020-03-28,North Carolina,972,23.97959183673469,784,6.879355804460439,6.664409020350408,0.21494678411003143
2020-03-29,North Carolina,1166,19.958847736625515,972,7.061334366910438,6.879355804460439,0.18197856244999855
2020-03-30,North Carolina,1303,11.749571183533448,1166,7.172424577124845,7.061334366910438,0.11109021021440757
2020-03-22,North Dakota,30,7.142857142857142,28,3.4011973816621555,3.332204510175204,0.06899287148695166
2020-03-23,North Dakota,32,6.666666666666667,30,3.4657359027997265,3.4011973816621555,0.06453852113757108
2020-03-24,North Dakota,37,15.625,32,3.6109179126442243,3.4657359027997265,0.1451820098444978
2020-03-25,North Dakota,45,21.62162162162162,37,3.8066624897703196,3.6109179126442243,0.19574457712609528
2020-03-26,North Dakota,58,28.888888888888886,45,4.060443010546419,3.8066624897703196,0.25378052077609947
2020-03-27,North Dakota,68,17.24137931034483,58,4.219507705176107,4.060443010546419,0.15906469462968786
2020-03-28,North Dakota,93,36.76470588235294,68,4.532599493153256,4.219507705176107,0.3130917879771493
2020-03-29,North Dakota,97,4.301075268817205,93,4.574710978503383,4.532599493153256,0.04211148535012654
2020-03-30,North Dakota,109,12.371134020618557,97,4.6913478822291435,4.574710978503383,0.11663690372576063
2020-03-15,Ohio,37,42.30769230769231,26,3.6109179126442243,3.258096538021482,0.3528213746227422
2020-03-16,Ohio,50,35.13513513513514,37,3.912023005428146,3.6109179126442243,0.3011050927839216
2020-03-17,Ohio,67,34,50,4.204692619390966,3.912023005428146,0.29266961396281976
2020-03-18,Ohio,90,34.32835820895522,67,4.499809670330265,4.204692619390966,0.2951170509392993
2020-03-19,Ohio,120,33.33333333333333,90,4.787491742782046,4.499809670330265,0.2876820724517808
2020-03-20,Ohio,169,40.833333333333336,120,5.1298987149230735,4.787491742782046,0.34240697214102767
2020-03-21,Ohio,247,46.15384615384615,169,5.5093883366279774,5.1298987149230735,0.37948962170490397
2020-03-22,Ohio,351,42.10526315789473,247,5.860786223465865,5.5093883366279774,0.351397886837888
2020-03-23,Ohio,444,26.495726495726498,351,6.095824562432225,5.860786223465865,0.23503833896635928
2020-03-24,Ohio,564,27.027027027027028,444,6.335054251498059,6.095824562432225,0.23922968906583453
2020-03-25,Ohio,707,25.354609929078016,564,6.561030665896573,6.335054251498059,0.2259764143985139
2020-03-26,Ohio,867,22.63083451202263,707,6.7650389767805414,6.561030665896573,0.2040083108839683
2020-03-27,Ohio,1144,31.949250288350633,867,7.042286171939743,6.7650389767805414,0.2772471951592017
2020-03-28,Ohio,1406,22.9020979020979,1144,7.2485040723706105,7.042286171939743,0.2062179004308673
2020-03-29,Ohio,1665,18.421052631578945,1406,7.417580402414544,7.2485040723706105,0.16907633004393396
2020-03-30,Ohio,1933,16.096096096096097,1665,7.566828479208331,7.417580402414544,0.1492480767937865
2020-03-19,Oklahoma,44,51.724137931034484,29,3.784189633918261,3.367295829986474,0.4168938039317869
2020-03-20,Oklahoma,49,11.363636363636363,44,3.8918202981106265,3.784189633918261,0.10763066419236544
2020-03-21,Oklahoma,53,8.16326530612245,49,3.970291913552122,3.8918202981106265,0.0784716154414955
2020-03-22,Oklahoma,67,26.41509433962264,53,4.204692619390966,3.970291913552122,0.23440070583884376
2020-03-23,Oklahoma,81,20.8955223880597,67,4.394449154672439,4.204692619390966,0.1897565352814734
2020-03-24,Oklahoma,106,30.864197530864196,81,4.663439094112067,4.394449154672439,0.2689899394396278
2020-03-25,Oklahoma,164,54.71698113207547,106,5.099866427824199,4.663439094112067,0.4364273337121318
2020-03-26,Oklahoma,248,51.21951219512195,164,5.5134287461649825,5.099866427824199,0.4135623183407837
2020-03-27,Oklahoma,322,29.838709677419356,248,5.7745515455444085,5.5134287461649825,0.26112279937942606
2020-03-28,Oklahoma,377,17.080745341614907,322,5.932245187448011,5.7745515455444085,0.15769364190360236
2020-03-29,Oklahoma,429,13.793103448275861,377,6.061456918928017,5.932245187448011,0.1292117314800061
2020-03-30,Oklahoma,481,12.121212121212121,429,6.175867270105761,6.061456918928017,0.11441035117774412
2020-03-12,Oregon,30,50,20,3.4011973816621555,2.995732273553991,0.4054651081081646
2020-03-13,Oregon,30,0,30,3.4011973816621555,3.4011973816621555,0
2020-03-14,Oregon,36,20,30,3.58351893845611,3.4011973816621555,0.18232155679395445
2020-03-15,Oregon,39,8.333333333333332,36,3.6635616461296463,3.58351893845611,0.08004270767353638
2020-03-16,Oregon,46,17.94871794871795,39,3.828641396489095,3.6635616461296463,0.16507975035944877
2020-03-17,Oregon,66,43.47826086956522,46,4.189654742026425,3.828641396489095,0.3610133455373301
2020-03-18,Oregon,74,12.121212121212121,66,4.30406509320417,4.189654742026425,0.114410351177745
2020-03-19,Oregon,87,17.56756756756757,74,4.465908118654584,4.30406509320417,0.1618430254504135
2020-03-20,Oregon,114,31.03448275862069,87,4.736198448394496,4.465908118654584,0.27029032973991196
2020-03-21,Oregon,137,20.175438596491226,114,4.919980925828125,4.736198448394496,0.1837824774336294
2020-03-22,Oregon,161,17.51824817518248,137,5.081404364984463,4.919980925828125,0.16142343915633806
2020-03-23,Oregon,191,18.633540372670808,161,5.25227342804663,5.081404364984463,0.17086906306216676
2020-03-24,Oregon,209,9.424083769633508,191,5.342334251964811,5.25227342804663,0.09006082391818104
2020-03-25,Oregon,266,27.27272727272727,209,5.583496308781699,5.342334251964811,0.24116205681688818
2020-03-26,Oregon,316,18.796992481203006,266,5.755742213586912,5.583496308781699,0.17224590480521318
2020-03-27,Oregon,415,31.329113924050635,316,6.028278520230698,5.755742213586912,0.2725363066437856
2020-03-28,Oregon,480,15.66265060240964,415,6.173786103901937,6.028278520230698,0.14550758367123873
2020-03-29,Oregon,549,14.374999999999998,480,6.3080984415095305,6.173786103901937,0.13431233760759387
2020-03-30,Oregon,607,10.564663023679417,549,6.408528791059498,6.3080984415095305,0.10043034954996788
2020-03-13,Pennsylvania,41,86.36363636363636,22,3.713572066704308,3.091042453358316,0.6225296133459919
2020-03-14,Pennsylvania,47,14.634146341463413,41,3.8501476017100584,3.713572066704308,0.13657553500575048
2020-03-15,Pennsylvania,68,44.680851063829785,47,4.219507705176107,3.8501476017100584,0.36936010346604853
2020-03-16,Pennsylvania,81,19.11764705882353,68,4.394449154672439,4.219507705176107,0.17494144949633217
2020-03-17,Pennsylvania,101,24.691358024691358,81,4.61512051684126,4.394449154672439,0.22067136216882055
2020-03-18,Pennsylvania,139,37.62376237623762,101,4.9344739331306915,4.61512051684126,0.3193534162894318
2020-03-19,Pennsylvania,187,34.53237410071942,139,5.231108616854587,4.9344739331306915,0.29663468372389534
2020-03-20,Pennsylvania,269,43.85026737967914,187,5.594711379601839,5.231108616854587,0.36360276274725223
2020-03-21,Pennsylvania,388,44.237918215613384,269,5.961005339623274,5.594711379601839,0.36629396002143455
2020-03-22,Pennsylvania,504,29.896907216494846,388,6.222576268071369,5.961005339623274,0.26157092844809515
2020-03-23,Pennsylvania,644,27.77777777777778,504,6.467698726104354,6.222576268071369,0.24512245803298516
2020-03-24,Pennsylvania,851,32.142857142857146,644,6.7464121285733745,6.467698726104354,0.27871340246902054
2020-03-25,Pennsylvania,1151,35.25264394829612,851,7.048386408721883,6.7464121285733745,0.30197428014850836
2020-03-26,Pennsylvania,1690,46.82884448305821,1151,7.432483807917119,7.048386408721883,0.38409739919523656
2020-03-27,Pennsylvania,2217,31.183431952662723,1690,7.7039102096163115,7.432483807917119,0.2714264016991921
2020-03-28,Pennsylvania,2815,26.97338746053225,2217,7.942717540573791,7.7039102096163115,0.23880733095747964
2020-03-29,Pennsylvania,3441,22.238010657193605,2815,8.14351740579748,7.942717540573791,0.2007998652236891
2020-03-30,Pennsylvania,4156,20.778843359488523,3441,8.332308352219117,8.14351740579748,0.18879094642163707
2020-03-18,Rhode Island,33,43.47826086956522,23,3.4965075614664802,3.1354942159291497,0.36101334553733055
2020-03-19,Rhode Island,44,33.33333333333333,33,3.784189633918261,3.4965075614664802,0.2876820724517808
2020-03-20,Rhode Island,44,0,44,3.784189633918261,3.784189633918261,0
2020-03-21,Rhode Island,66,50,44,4.189654742026425,3.784189633918261,0.40546510810816416
2020-03-22,Rhode Island,83,25.757575757575758,66,4.418840607796598,4.189654742026425,0.22918586577017308
2020-03-23,Rhode Island,106,27.710843373493976,83,4.663439094112067,4.418840607796598,0.24459848631546866
2020-03-24,Rhode Island,124,16.9811320754717,106,4.820281565605037,4.663439094112067,0.15684247149297015
2020-03-25,Rhode Island,132,6.451612903225806,124,4.882801922586371,4.820281565605037,0.06252035698133351
2020-03-26,Rhode Island,165,25,132,5.10594547390058,4.882801922586371,0.2231435513142097
2020-03-27,Rhode Island,203,23.03030303030303,165,5.313205979041787,5.10594547390058,0.20726050514120686
2020-03-28,Rhode Island,239,17.733990147783253,203,5.476463551931511,5.313205979041787,0.16325757288972387
2020-03-29,Rhode Island,294,23.01255230125523,239,5.683579767338681,5.476463551931511,0.2071162154071704
2020-03-30,Rhode Island,408,38.775510204081634,294,6.0112671744041615,5.683579767338681,0.32768740706548005
2020-03-16,South Carolina,33,17.857142857142858,28,3.4965075614664802,3.332204510175204,0.16430305129127643
2020-03-17,South Carolina,47,42.42424242424242,33,3.8501476017100584,3.4965075614664802,0.3536400402435782
2020-03-18,South Carolina,60,27.659574468085108,47,4.0943445622221,3.8501476017100584,0.24419696051204198
2020-03-19,South Carolina,81,35,60,4.394449154672439,4.0943445622221,0.3001045924503387
2020-03-20,South Carolina,126,55.55555555555556,81,4.836281906951478,4.394449154672439,0.44183275227903884
2020-03-21,South Carolina,172,36.507936507936506,126,5.147494476813453,4.836281906951478,0.31121256986197476
2020-03-22,South Carolina,194,12.790697674418606,172,5.267858159063328,5.147494476813453,0.12036368224987548
2020-03-23,South Carolina,299,54.123711340206185,194,5.700443573390687,5.267858159063328,0.43258541432735864
2020-03-24,South Carolina,342,14.381270903010032,299,5.834810737062605,5.700443573390687,0.13436716367191792
2020-03-25,South Carolina,425,24.269005847953213,342,6.052089168924417,5.834810737062605,0.2172784318618124
2020-03-26,South Carolina,456,7.294117647058823,425,6.1224928095143865,6.052089168924417,0.07040364058996929
2020-03-27,South Carolina,542,18.859649122807017,456,6.295266001439646,6.1224928095143865,0.17277319192525997
2020-03-28,South Carolina,661,21.95571955719557,542,6.493753839851686,6.295266001439646,0.19848783841203943
2020-03-29,South Carolina,775,17.246596066565807,661,6.652863029353347,6.493753839851686,0.15910918950166142
2020-03-30,South Carolina,925,19.35483870967742,775,6.829793737512425,6.652863029353347,0.17693070815907763
2020-03-24,South Dakota,30,7.142857142857142,28,3.4011973816621555,3.332204510175204,0.06899287148695166
2020-03-25,South Dakota,41,36.666666666666664,30,3.713572066704308,3.4011973816621555,0.3123746850421525
2020-03-26,South Dakota,46,12.195121951219512,41,3.828641396489095,3.713572066704308,0.11506932978478712
2020-03-27,South Dakota,58,26.08695652173913,46,4.060443010546419,3.828641396489095,0.23180161405732402
2020-03-28,South Dakota,68,17.24137931034483,58,4.219507705176107,4.060443010546419,0.15906469462968786
2020-03-29,South Dakota,90,32.35294117647059,68,4.499809670330265,4.219507705176107,0.28030196515415806
2020-03-30,South Dakota,100,11.11111111111111,90,4.605170185988092,4.499809670330265,0.10536051565782678
2020-03-14,Tennessee,32,23.076923076923077,26,3.4657359027997265,3.258096538021482,0.2076393647782444
2020-03-15,Tennessee,39,21.875,32,3.6635616461296463,3.4657359027997265,0.19782574332991976
2020-03-16,Tennessee,52,33.33333333333333,39,3.9512437185814275,3.6635616461296463,0.28768207245178123
2020-03-17,Tennessee,73,40.38461538461539,52,4.290459441148391,3.9512437185814275,0.3392157225669634
2020-03-18,Tennessee,98,34.24657534246575,73,4.584967478670572,4.290459441148391,0.29450803752218135
2020-03-19,Tennessee,155,58.16326530612245,98,5.043425116919247,4.584967478670572,0.45845763824867447
2020-03-20,Tennessee,237,52.903225806451616,155,5.4680601411351315,5.043425116919247,0.4246350242158847
2020-03-21,Tennessee,312,31.645569620253166,237,5.7430031878094825,5.4680601411351315,0.274943046674351
2020-03-22,Tennessee,424,35.8974358974359,312,6.049733455231958,5.7430031878094825,0.3067302674224752
2020-03-23,Tennessee,522,23.11320754716981,424,6.257667587882639,6.049733455231958,0.2079341326506814
2020-03-24,Tennessee,678,29.88505747126437,522,6.519147287940395,6.257667587882639,0.2614797000577562
2020-03-25,Tennessee,806,18.87905604719764,678,6.692083742506628,6.519147287940395,0.17293645456623263
2020-03-26,Tennessee,981,21.712158808933,806,6.8885724595653635,6.692083742506628,0.1964887170587355
2020-03-27,Tennessee,1180,20.285423037716615,981,7.07326971745971,6.8885724595653635,0.18469725789434666
2020-03-28,Tennessee,1363,15.508474576271187,1180,7.217443431696533,7.07326971745971,0.1441737142368229
2020-03-29,Tennessee,1569,15.113719735876744,1363,7.358193752733032,7.217443431696533,0.14075032103649932
2020-03-30,Tennessee,1721,9.68769917144678,1569,7.450660796211539,7.358193752733032,0.0924670434785071
