state,date,measure_short,measure
Virginia,2020-03-12,b,closure of workplaces
Virginia,2020-03-12,c,cancellation of public events
Virginia,2020-03-16,a,closure of schools
Virginia,2020-03-16,c,cancellation of public events
Virginia,2020-03-24,c,cancellation of public events
Virginia,2020-03-30,b,closure of workplaces
Virginia,2020-03-30,d,restrictions on internal movement
Washington,2020-03-10,c,cancellation of public events
Washington,2020-03-13,c,cancellation of public events
Washington,2020-03-16,c,cancellation of public events
Washington,2020-03-17,a,closure of schools
Washington,2020-03-23,b,closure of workplaces
Washington,2020-03-23,c,cancellation of public events
Washington,2020-03-23,d,restrictions on internal movement
West Virginia,2020-03-13,a,closure of schools
West Virginia,2020-03-17,c,cancellation of public events
West Virginia,2020-03-19,c,cancellation of public events
West Virginia,2020-03-20,c,cancellation of public events
West Virginia,2020-03-24,b,closure of workplaces
West Virginia,2020-03-24,d,restrictions on internal movement
West Virginia,2020-03-31,c,cancellation of public events
West Virginia,2020-03-31,e,closure of state borders
Wisconsin,2020-03-17,c,cancellation of public events
Wisconsin,2020-03-17,c,cancellation of public events
Wisconsin,2020-03-18,a,closure of schools
Wisconsin,2020-03-25,b,closure of workplaces
Wisconsin,2020-03-25,d,restrictions on internal movement
Wyoming,2020-03-19,a,closure of schools
Wyoming,2020-03-19,c,cancellation of public events
Wyoming,2020-03-20,c,cancellation of public events
Wyoming,2020-03-25,c,cancellation of public events
