state,date,cases,cases_perc,cases_daybefore,cases_ln,cases_daybefore_ln,log_dif,date_lockdown,measure,date_lockdown_filled,time_to_lockdown,post_intervention
Minnesota,2020-03-21,138,20,115,4.927253685157205,4.74493212836325,0.1823215567939549,2020-03-27,restrictions on internal movement,2020-03-27,-6,0
Minnesota,2020-03-22,171,23.91304347826087,138,5.14166355650266,4.927253685157205,0.2144098713454552,2020-03-27,restrictions on internal movement,2020-03-27,-5,0
Minnesota,2020-03-23,235,37.42690058479532,171,5.459585514144159,5.14166355650266,0.31792195764149866,2020-03-27,restrictions on internal movement,2020-03-27,-4,0
Minnesota,2020-03-24,264,12.340425531914894,235,5.575949103146316,5.459585514144159,0.11636358900215704,2020-03-27,restrictions on internal movement,2020-03-27,-3,0
Minnesota,2020-03-25,289,9.469696969696969,264,5.666426688112432,5.575949103146316,0.09047758496611635,2020-03-27,restrictions on internal movement,2020-03-27,-2,0
Minnesota,2020-03-26,346,19.72318339100346,289,5.846438775057725,5.666426688112432,0.18001208694529236,2020-03-27,restrictions on internal movement,2020-03-27,-1,0
Minnesota,2020-03-27,398,15.028901734104046,346,5.986452005284438,5.846438775057725,0.14001323022671297,2020-03-27,restrictions on internal movement,2020-03-27,0,0
Minnesota,2020-03-28,442,11.055276381909549,398,6.091309882077698,5.986452005284438,0.1048578767932602,2020-03-27,restrictions on internal movement,2020-03-27,1,0
Minnesota,2020-03-29,504,14.027149321266968,442,6.222576268071369,6.091309882077698,0.1312663859936709,2020-03-27,restrictions on internal movement,2020-03-27,2,0
Minnesota,2020-03-30,576,14.285714285714285,504,6.3561076606958915,6.222576268071369,0.13353139262452274,2020-03-27,restrictions on internal movement,2020-03-27,3,0
Nevada,2020-03-16,45,73.07692307692307,26,3.8066624897703196,3.258096538021482,0.5485659517488375,NA,NA,2020-03-30,-14,0
Nevada,2020-03-17,55,22.22222222222222,45,4.007333185232471,3.8066624897703196,0.20067069546215155,NA,NA,2020-03-30,-13,0
Nevada,2020-03-18,82,49.09090909090909,55,4.406719247264253,4.007333185232471,0.3993860620317822,NA,NA,2020-03-30,-12,0
Nevada,2020-03-19,99,20.73170731707317,82,4.59511985013459,4.406719247264253,0.18840060287033644,NA,NA,2020-03-30,-11,0
Nevada,2020-03-20,165,66.66666666666666,99,5.10594547390058,4.59511985013459,0.5108256237659905,NA,NA,2020-03-30,-10,0
Nevada,2020-03-21,165,0,165,5.10594547390058,5.10594547390058,0,NA,NA,2020-03-30,-9,0
Nevada,2020-03-22,190,15.151515151515152,165,5.247024072160486,5.10594547390058,0.14107859825990587,NA,NA,2020-03-30,-8,0
Nevada,2020-03-23,265,39.473684210526315,190,5.579729825986222,5.247024072160486,0.33270575382573586,NA,NA,2020-03-30,-7,0
Nevada,2020-03-24,315,18.867924528301888,265,5.752572638825633,5.579729825986222,0.17284281283941105,NA,NA,2020-03-30,-6,0
Nevada,2020-03-25,405,28.57142857142857,315,6.003887067106539,5.752572638825633,0.25131442828090567,NA,NA,2020-03-30,-5,0
Nevada,2020-03-26,535,32.098765432098766,405,6.282266746896006,6.003887067106539,0.27837967978946754,NA,NA,2020-03-30,-4,0
Nevada,2020-03-27,621,16.074766355140188,535,6.431331081933479,6.282266746896006,0.14906433503747252,NA,NA,2020-03-30,-3,0
Nevada,2020-03-28,738,18.84057971014493,621,6.6039438246004725,6.431331081933479,0.17261274266699367,NA,NA,2020-03-30,-2,0
Nevada,2020-03-29,920,24.661246612466126,738,6.824373670043086,6.6039438246004725,0.2204298454426139,NA,NA,2020-03-30,-1,0
Nevada,2020-03-30,1044,13.478260869565217,920,6.950814768442584,6.824373670043086,0.12644109839949724,NA,NA,2020-03-30,0,0
